Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,In stock?,Allow customer reviews?,Position
"simple","SOTW-AFR-MAGHREB","Maghreb Spice Mix","0","0","visible","The North African chilli paste behind Maghreb cooking: dried red chillies, garlic, lemon, cumin, coriander, and caraway.","How to Make the Dish: Harissa lives all over Maghrebi cooking - stirred into couscous broth, spooned into shakshuka's tomato-and-pepper sauce, or rubbed onto merguez sausages before they hit the grill. From Episode 5 of the Fudi People YouTube series. WET - a chilli paste, not a dry blend; needs refrigeration after opening, not a shelf-stable pantry jar as scripted.","","Africa","Maghreb,Spice Mix,Wet - Needs Adaptation","1","1","1"
"simple","SOTW-AFR-WESTAFRICA","West Africa Spice Mix","0","0","visible","The dry suya rub behind Ghana and Nigeria's chinchinga and suya: grains of selim, dried chillies, kuli-kuli (peanut puffs), ginger, and a stock cube.","How to Make the Dish: Skewer beef or chicken, rub generously with Yaji, and grill over an open flame until charred - suya, West Africa's best-known street food. Yaji also seasons kilishi (dried spiced beef jerky) and gets dusted straight onto roasted plantain, corn, or boiled eggs. From Episode 1 of the Fudi People YouTube series. Dry blend, shelf-stable. Contains peanuts (kuli-kuli); may contain gluten depending on the stock cube used. Note: West Africa also has two other drafted blends not otherwise placed in this structure - Senegal's Yassa Marinade (Episode 2) and Sierra Leone/Liberia's Pepper Soup Spice (Episode 4) - worth a look as future variations or separate listings.","","Africa","West Africa,Spice Mix,Dry Blend,Contains Peanuts","1","1","2"
"simple","SOTW-AFR-CENTRALAFRICA","Central Africa Spice Mix","0","0","visible","Central Africa's smoky mbongo spice base, ground with garlic and onion: mbongo, njangsa, calabash nutmeg, and grains of paradise.","How to Make the Dish: This mix flavours mbongo tchobi, Cameroon's rich, dark 'black stew' - its full traditional build. Njangsa on its own also gives ndole, Cameroon's national dish, its bitter-greens depth. From Episode 7 of the Fudi People YouTube series. WET - ground with fresh garlic and onion, this comes out a moist paste rather than a dry rub; a dry version would need onion and garlic powder substituted in. May contain peanuts if using the peanut substitute for njangsa.","","Africa","Central Africa,Spice Mix,Wet - Needs Adaptation,May Contain Peanuts","1","1","3"
"simple","SOTW-AFR-HORNAFRICA","Horn of Africa Spice Mix","0","0","visible","Ethiopia's spiced clarified butter, the base of doro wat: butter simmered with onion, garlic, ginger, fenugreek, cumin, cardamom, turmeric, and herbs.","How to Make the Dish: Stirred straight into doro wat, Ethiopia's national chicken stew, and misir wat, its red lentil stew; kitfo (minced beef) gets it stirred through too. From Episode 3 of the Fudi People YouTube series. WET - a dairy product needing refrigeration and a limited shelf life, not a dry pantry item as scripted. Contains dairy.","","Africa","Horn of Africa,Spice Mix,Wet - Needs Adaptation,Contains Dairy","1","1","4"
"simple","SOTW-AFR-EASTAFRICA","East Africa Spice Mix","0","0","visible","Zanzibar's warming pilau spice: toasted cumin, black pepper, cloves, cardamom, and cinnamon.","How to Make the Dish: Stir the toasted, ground spice straight into onions at the start of cooking pilau rice - the simplest way to taste it. The same profile also builds Zanzibar biryani and kuku paka, East Africa's coconut chicken curry. From Episode 6 of the Fudi People YouTube series. Dry blend, shelf-stable. No exact ratios given in the source; test-cook to lock in your own before scaling for retail.","","Africa","East Africa,Spice Mix,Dry Blend","1","1","5"
"simple","SOTW-AFR-SOUTHERNAFRICA","Southern Africa Spice Mix","0","0","visible","Durban's South Asia-bridge curry masala: coriander, cumin, cardamom, fenugreek, cloves, cinnamon, and chilli.","How to Make the Dish: The same masala fills bunny chow - curry ladled into a hollowed-out loaf of bread, Durban's most famous export - and Durban-style samoosas. Today's version: the classic way, in a bowl. From Episode 8 of the Fudi People YouTube series. Dry blend, shelf-stable. No exact ratios given in the source; test-cook before locking a retail recipe.","","Africa","Southern Africa,Spice Mix,Dry Blend","1","1","6"
"simple","SOTW-AFR-CHILLIOIL","Fudi People Chilli Oil with Spices of Africa","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to Africa's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the Africa flavour story for this chilli oil]","","Africa","Chilli Oil","1","1","99"
"simple","SOTW-MEA-TURKEY","Turkey Spice Mix","0","0","visible","Turkey's warming all-purpose spice blend: black pepper, cumin, coriander, cloves, cardamom, nutmeg, and dried mint.","How to Make the Dish: Kofte - seasoned minced meat, shaped and grilled, with the baharat doing all the real work. Also used in pilafs and roast vegetables, aubergine especially. From Episode 11 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Turkey,Spice Mix,Dry Blend","1","1","1"
"simple","SOTW-MEA-SYRIA","Syria Spice Mix","0","0","visible","The toasted cumin, sesame, sumac, and oregano blend behind Syrian za'atar.","How to Make the Dish: Za'atar isn't built for one dish - it's the everyday finish on warm flatbread with olive oil, dipped alongside hummus and labneh, the way black pepper sits on a Western table. From Episode 10 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source. Contains sesame.","","Middle East","Syria,Spice Mix,Dry Blend,Contains Sesame","1","1","2"
"simple","SOTW-MEA-LEBANON","Lebanon Spice Mix","0","0","visible","Lebanon's fried-garlic-and-coriander base, the seven-spice baharat's finishing touch.","How to Make the Dish: Stirred into soups and stews right at the end - a simple red lentil soup finished with a generous spoonful of taklia is the classic way in. From Episode 13 of the Fudi People YouTube series. WET - an oil-based fried-garlic paste, not a dry blend; would need reformulating with dried or fried garlic granules and no oil to sell as a shelf-stable product.","","Middle East","Lebanon,Spice Mix,Wet - Needs Adaptation","1","1","3"
"simple","SOTW-MEA-ISRAEL","Israel Spice Mix","0","0","visible","Israel's bright, fiery green chilli-herb condiment: cardamom, coriander, cumin, green chillies, garlic, herbs, and lemon.","How to Make the Dish: Fresh falafel, zhug spooned generously over the top - also served with grilled meats and egg dishes. From Episode 12 of the Fudi People YouTube series. WET - a fresh herb paste with a short shelf life, sold fresh/refrigerated rather than as a pantry jar.","","Middle East","Israel,Spice Mix,Wet - Needs Adaptation","1","1","4"
"simple","SOTW-MEA-EGYPT","Egypt Spice Mix","0","0","visible","Egypt's roasted nut, seed, and spice dip: hazelnuts, almonds, coriander, cumin, and sesame.","How to Make the Dish: Served as an everyday condiment with olive oil and bread for dipping, or scattered over roasted meats and hummus - with koshari, Egypt's lentil-rice-pasta national dish, alongside. From Episode 16 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities and timings from the source. Contains hazelnuts, almonds, and sesame.","","Middle East","Egypt,Spice Mix,Dry Blend,Contains Tree Nuts,Contains Sesame","1","1","5"
"simple","SOTW-MEA-IRAQ","Iraq Spice Mix","0","0","visible","Iraq's all-purpose baharat: black pepper, allspice, cloves, coriander, cumin, cinnamon, and nutmeg.","How to Make the Dish: Masgouf - whole carp, rubbed with Arabic baharat, turmeric, and a little tamarind, then grilled over an open wood fire until the skin crisps and the flesh flakes. Iraq's favourite fish dish. From Episode 14 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Iraq,Spice Mix,Dry Blend","1","1","6"
"simple","SOTW-MEA-ARABIANPENINSULA","Arabian Peninsula Spice Mix","0","0","visible","The Arabian Peninsula's cumin-forward stew spice: black pepper, cumin, cardamom, coriander, and turmeric.","How to Make the Dish: A Yemeni-style lamb soup, the meat simmered low and slow with hawaij, onion, and stock until it falls apart. From Episode 17 of the Fudi People YouTube series. Dry blend, shelf-stable, exact quantities from the source.","","Middle East","Arabian Peninsula,Spice Mix,Dry Blend","1","1","7"
"simple","SOTW-MEA-CHILLIOIL","Fudi People Chilli Oil with Spices of the Middle East","0","0","visible","[SHORT DESCRIPTION PLACEHOLDER - tie this chilli oil to the Middle East's flavour profile]","[DESCRIPTION PLACEHOLDER - expand on the Middle East flavour story for this chilli oil]","","Middle East","Chilli Oil","1","1","99"
