Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,In stock?,Allow customer reviews?
"simple","FP-01-YAJI","Yaji (West African Suya Spice Rub)","0","0","visible","The dry suya spice rub behind Ghana and Nigeria's chinchinga and suya skewers.","Yaji is the dry rub at the heart of West African suya and chinchinga: grains of selim, dried chillies, crushed kuli-kuli (peanut puffs), ginger powder, a crumbled stock cube, salt, and black pepper. Rub generously onto skewered meat before grilling. Featured in Episode 1 of the Fudi People spice journey series. Dry blend, shelf-stable. Contains peanuts (kuli-kuli); may contain gluten depending on the stock cube used.","","Africa","West Africa,Ghana,Nigeria,Suya,Dry Blend,Contains Peanuts","1","1"
"simple","FP-02-YASSA","Yassa Marinade (Senegal)","0","0","visible","Senegal's sour, mustard-forward marinade behind poulet yassa.","A wet marinade, not a dry blend: mustard paste, onions, garlic, and a real hit of sourness from lemon juice or vinegar, used on chicken or fish before slow-cooking with caramelised onions. Featured in Episode 2. WET, needs adaptation: sold fresh/refrigerated, or reformulated with a shelf-stable acid and dried aromatics, before it can be listed as a pantry product as scripted. Contains mustard.","","Africa","West Africa,Senegal,Marinade,Wet - Needs Adaptation,Contains Mustard","1","1"
"simple","FP-03-NITERKIBBEH","Niter Kibbeh (Ethiopian Spiced Butter)","0","0","visible","Ethiopia's spiced clarified butter, the base of doro wat.","Butter simmered for 20 minutes with onion, garlic, ginger, fenugreek, cumin, korarima (or cardamom), turmeric, oregano, basil, and sage, then strained through muslin. Featured in Episode 3. WET, needs adaptation: a dairy product needing refrigeration and a limited shelf life, not a dry pantry item as scripted. Contains dairy.","","Africa","Horn of Africa,Ethiopia,Wet - Needs Adaptation,Contains Dairy","1","1"
"simple","FP-04-PEPPERSOUP","Pepper Soup Spice (Sierra Leone & Liberia)","0","0","visible","The aromatic base of Sierra Leonean and Liberian pepper soup.","Built from Scotch bonnet peppers, garlic, ginger, country onion (a small wild onion), and often uda and calabash nutmeg, simmered with goat, fish, or chicken. Featured in Episode 4. WET, needs adaptation: the fresh chilli, garlic, ginger, and onion base isn't a dry pantry mix as scripted; a dry version would need to drop the fresh aromatics and sell just the dried spices (uda, calabash nutmeg). Sourced from general research rather than the book, worth double-checking before finalising.","","Africa","West Africa,Sierra Leone,Liberia,Wet - Needs Adaptation","1","1"
"simple","FP-05-HARISSA","Harissa (Maghreb Chilli Paste)","0","0","visible","The North African chilli paste behind Maghreb cooking.","Dried red chillies (Baklouti if available), soaked and blended with garlic, salt, lemon juice, ground cumin, ground coriander, ground caraway, and olive oil into a paste. Featured in Episode 5. WET, needs adaptation: a chilli paste, not a dry blend; sold as a refrigerated jarred paste rather than a shelf-stable dry mix as scripted.","","Africa","Maghreb,Morocco,Algeria,Tunisia,Wet - Needs Adaptation","1","1"
"simple","FP-06-PILAU","Pilau Masala (Zanzibar/East Africa)","0","0","visible","Zanzibar's warming pilau spice: cumin, pepper, clove, cardamom, and cinnamon.","Toasted and ground cumin seeds, black peppercorns, cloves, cardamom seeds, and cinnamon, stirred into onions at the start of cooking pilau rice. Featured in Episode 6. Dry blend, shelf-stable. No exact ratios given in the source; test-cook to lock in your own before scaling for retail.","","Africa","East Africa,Kenya,Tanzania,Zanzibar,Dry Blend","1","1"
"simple","FP-07-MBONGO","Mbongo Mix (Central Africa)","0","0","visible","Central Africa's smoky mbongo spice base, ground with garlic and onion.","Whole mbongo spice (or black cardamom), bobimbi (or wild garlic), njangsa seeds (or unsalted peanuts), calabash nutmeg (or regular nutmeg), grains of paradise, and garlic cloves, ground together with chopped onion. Featured in Episode 7. WET, needs adaptation: ground with fresh garlic and onion, this comes out a moist paste rather than a dry rub as scripted; a dry version would need onion and garlic powder substituted in. May contain peanuts if using the peanut substitute for njangsa.","","Africa","Central Africa,Cameroon,Wet - Needs Adaptation,May Contain Peanuts","1","1"
"simple","FP-08-DURBAN","Durban Curry Masala (Southern Africa)","0","0","visible","Durban's South Asia-bridge curry masala: coriander, cumin, cardamom, and chilli.","Toasted and ground coriander seeds, cumin seeds, cardamom seeds, fenugreek seeds, cloves, a cinnamon stick, mild chilli powder, and cayenne pepper, with ground ginger stirred through. Featured in Episode 8, the direct bridge into the South Asia sub-arc. Dry blend, shelf-stable. No exact ratios given in the source; test-cook before locking a retail recipe.","","Africa","Southern Africa,South Africa,Durban,Dry Blend","1","1"
"simple","FP-09-JERK","Jamaican Jerk Rub (The Caribbean)","0","0","visible","The allspice-and-Scotch-bonnet dry rub behind Jamaican jerk.","Ground allspice, whole black peppercorns, and cloves, combined with chipotle or cayenne powder, paprika, grated nutmeg, ground ginger, ground cinnamon, onion powder, garlic powder, dried thyme, brown sugar, and sea salt. Rub onto chicken, fish, pork, or beef before marinating. Featured in Episode 9, opening the Americas sub-arc. Dry blend, shelf-stable, exact quantities straight from the source.","","The Americas","Caribbean,Jamaica,Jerk,Dry Blend","1","1"
"simple","FP-10-ZAATAR","Za'atar (Syria)","0","0","visible","The toasted cumin, sesame, sumac, and oregano blend behind Syrian za'atar.","Cumin seeds dry-roasted with sea salt and ground, combined with dry-roasted sesame seeds, dried oregano, and sumac. Used as a dip with olive oil and bread, or as a seasoning. Featured in Episode 10, opening the Middle East sub-arc. Dry blend, shelf-stable, exact quantities from the source. Contains sesame.","","Middle East","Syria,Za'atar,Dry Blend,Contains Sesame","1","1"
